task,task_normalized,soc_code_2019,title,freq_mean,importance,relevance,soc_code_2019_untrimmed,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category
"Keep up-to-date records of circulation and materials, maintain inventory, and correct cataloging errors.",keep uptodate records of circulation and materials maintain inventory and correct cataloging errors,25-4022,Librarians and Media Collections Specialists,2.609922692307692,4.14,88.56,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
"Plan and teach classes on topics such as information literacy, library instruction, and technology use.",plan and teach classes on topics such as information literacy library instruction and technology use,25-4022,Librarians and Media Collections Specialists,1.485593076923077,4.05,81.18,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
"Confer with colleagues, faculty, and community members and organizations to conduct informational programs, make collection decisions, and determine library services to offer.",confer with colleagues faculty and community members and organizations to conduct informational programs make collection decisions and determine library services to offer,25-4022,Librarians and Media Collections Specialists,0.8359930769230769,3.99,89.83,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
"Code, classify, and catalog books, publications, films, audio-visual aids, and other library materials, based on subject matter or standard library classification systems.",code classify and catalog books publications films audiovisual aids and other library materials based on subject matter or standard library classification systems,25-4022,Librarians and Media Collections Specialists,1.2336746153846154,3.89,69.21,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
"Respond to customer complaints, taking action as necessary.",respond to customer complaints taking action as necessary,25-4022,Librarians and Media Collections Specialists,0.8732303846153846,3.89,91.43,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
"Explain use of library facilities, resources, equipment, and services, and provide information about library policies.",explain use of library facilities resources equipment and services and provide information about library policies,25-4022,Librarians and Media Collections Specialists,1.765135,3.86,98.01,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
"Supervise daily library operations, budgeting, planning, and personnel activities, such as hiring, training, scheduling, and performance evaluations.",supervise daily library operations budgeting planning and personnel activities such as hiring training scheduling and performance evaluations,25-4022,Librarians and Media Collections Specialists,2.3539226923076924,4.06,70.2,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
"Answer routine telephone or in-person reference inquiries, referring patrons to librarians for further assistance, when necessary.",answer routine telephone or inperson reference inquiries referring patrons to librarians for further assistance when necessary,25-4031,Library Technicians,4.078100384615384,4.27,79.38,25-4031.00,73770.0,510.0,25,Educational Instruction and Library Occupations
"Operate and maintain audio-visual equipment, such as projectors, tape recorders, and videocassette recorders.",operate and maintain audiovisual equipment such as projectors tape recorders and videocassette recorders,25-4031,Library Technicians,0.3558623076923077,2.83,51.26,25-4031.00,73770.0,510.0,25,Educational Instruction and Library Occupations
Design posters and special displays to promote use of library facilities or specific reading programs at libraries.,design posters and special displays to promote use of library facilities or specific reading programs at libraries,25-4031,Library Technicians,0.1709388461538461,3.39,69.24,25-4031.00,73770.0,510.0,25,Educational Instruction and Library Occupations
Compile bibliographies and prepare abstracts on subjects of interest to particular organizations or groups.,compile bibliographies and prepare abstracts on subjects of interest to particular organizations or groups,25-4031,Library Technicians,0.0952046153846154,2.5,39.48,25-4031.00,73770.0,510.0,25,Educational Instruction and Library Occupations
"Help patrons find and use library resources, such as reference materials, audio-visual equipment, computers, and other electronic resources and provide technical assistance when needed.",help patrons find and use library resources such as reference materials audiovisual equipment computers and other electronic resources and provide technical assistance when needed,25-4031,Library Technicians,3.7571626923076926,4.18,96.99,25-4031.00,73770.0,510.0,25,Educational Instruction and Library Occupations
"Catalogue and sort books and other print and non-print materials according to procedure and return them to shelves, files, or other designated storage areas.",catalogue and sort books and other print and nonprint materials according to procedure and return them to shelves files or other designated storage areas,25-4031,Library Technicians,5.119213846153846,4.05,78.2,25-4031.00,73770.0,510.0,25,Educational Instruction and Library Occupations
Sort and deliver library mail and packages.,sort and deliver library mail and packages,25-4031,Library Technicians,0.8150238461538462,3.05,62.91,25-4031.00,73770.0,510.0,25,Educational Instruction and Library Occupations
"Order all print and non-print library materials, checking prices, figuring costs, preparing order slips, and making payments.",order all print and nonprint library materials checking prices figuring costs preparing order slips and making payments,25-4031,Library Technicians,0.686181153846154,3.71,39.94,25-4031.00,73770.0,510.0,25,Educational Instruction and Library Occupations
"Check for damaged library materials, such as books or audio-visual equipment, and provide replacements or make repairs.",check for damaged library materials such as books or audiovisual equipment and provide replacements or make repairs,25-4031,Library Technicians,1.828157692307692,3.72,80.88,25-4031.00,73770.0,510.0,25,Educational Instruction and Library Occupations
